Accession,Release_Date,Species,Genus,Family,Length,Nuc_Completeness,Genotype,Genome_Region,Segment,Authors,Publications,Geo_Location,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
QIQ68701,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68702,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,ORF10 proteiin [Severe acute respiratory syndrome coronavirus 2]
QIQ68594,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68596,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68597,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68599,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68601,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68604,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68606,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68608,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68609,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68611,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68593,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68595,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68598,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68600,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68602,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-25,,ORF10 proteiin [Severe acute respiratory syndrome coronavirus 2]
QIQ68603,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68605,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68607,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68610,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68612,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Liu,Y., Sun,Z., Chen,J., Wang,X., Yu,H., Li,J., Yu,X., Wang,H., Pan,J.",,China,Homo sapiens,"lung, oronasopharynx",2020-01-21,,ORF10 proteiin [Severe acute respiratory syndrome coronavirus 2]
QIQ68483,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68484,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68485,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68486,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68487,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68488,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68489,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68490,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68491,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68492,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-12,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68493,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68494,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68495,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68496,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68497,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68498,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68499,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68500,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68501,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68502,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68503,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68504,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68505,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68506,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68507,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68508,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68509,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68510,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68511,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68512,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68513,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68514,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68515,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68516,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68517,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68518,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68519,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68520,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68521,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68522,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68523,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68524,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68525,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68526,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68527,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68528,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68529,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68530,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68531,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68532,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68533,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7096,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68534,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68535,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68536,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68537,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68538,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,61,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF6 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68539,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF7a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68540,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,121,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF8 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68541,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,419,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,nucleocapsid phosphoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68542,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,38,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-14,,ORF10 protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68543,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,7095,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,orf1ab polyprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68544,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,1273,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,surface glycoprotein [Severe acute respiratory syndrome coronavirus 2]
QIQ68545,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,275,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,ORF3a protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68546,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,75,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,envelope protein [Severe acute respiratory syndrome coronavirus 2]
QIQ68547,2020-03-27T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,Betacoronavirus,Coronaviridae,222,GenBank,,,,"Roychoudhury,P., Greninger,A., Jerome,K.",,USA,Homo sapiens,,2020-03-13,,membrane glycoprotein [Severe acute respiratory syndrome coronavirus 2]
